Country_ID,Country,2015_Monthly_Gross,2016_Monthly_Gross,2017_Monthly_Gross,2015_Annual_Gross,2016_Annual_Gross,2017_Annual_Gross
ALB,Albania,343,346,365,4116,4152,4380
AUT,Austria,3973,4081,4164,47676,48972,49968
BLR,Belarus,340,348,357,4080,4176,4284
BEL,Belgium,3445,3489,3558,41340,41868,42696
BIH,Bosnia and Herzegovina,659,665,675,7908,7980,8100
BGR,Bulgaria,449,485,530,5388,5820,6360
HRV,Croatia,1058,1030,1080,12696,12360,12960
CYP,Cyprus,1882,1879,1892,22584,22548,22704
CZE,Czech Republic,975,1027,1126,11700,12324,13512
DNK,Denmark,5331,5412,5531,63972,64944,66372
EST,Estonia,1065,1146,1221,12780,13752,14652
FIN,Finland,3333,3368,3395,39996,40416,40740
DEU,Germany,3612,3703,3771,43344,44436,45252
GRC,Greece,1472,1509,1546,17664,18108,18552
HUN,Hungary,800,845,961,9600,10140,11532
ISL,Iceland,4183,4963,5865,50196,59556,70380
IRL,Ireland,3755,3803,3867,45060,45636,46404
ITA,Italy,2376,2435,2496,28512,29220,29952
XXK,Kosovo,510,519,528,6120,6228,6336
LVA,Latvia,818,859,926,9816,10308,11112
LTU,Lithuania,714,774,840,8568,9288,10080
LUX,Luxembourg,4811,4848,5007,57732,58176,60084
MKD,Macedonia,525,535,549,6300,6420,6588
MLT,Malta,1402,1437,1473,16824,17244,17676
MDA,Moldova,323,231,274,3876,2772,3288
MNE,Montenegro,725,751,765,8700,9012,9180
NLD,Netherlands,2907,2980,3054,34884,35760,36648
NOR,Norway,4758,4661,4751,57096,55932,57012
POL,Poland,932,928,1003,11184,11136,12036
PRT,Portugal,1097,1108,1133,13164,13296,13596
ROU,Romania,575,626,706,6900,7512,8472
RUS,Russia,493,505,517,5916,6060,6204
SRB,Serbia,506,516,544,6072,6192,6528
SVK,Slovakia,883,912,954,10596,10944,11448
SVN,Solvenia,1556,1585,1627,18672,19020,19524
ESP,Spain,2204,2213,2243,26448,26556,26916
SWE,Sweden,3420,3463,3499,41040,41556,41988
CHE,Switzerland,6003,6153,6307,72036,73836,75684
UKR,Ukraine,173,183,237,2076,2196,2844
