"Country","Happiness_Score2016","Annual_Gross2016"
"Switzerland",7.509,73836
"Iceland",7.501,59556
"Denmark",7.526,64944
"Norway",7.498,55932
"Finland",7.413,40416
"Netherlands",7.339,35760
"Sweden",7.291,41556
"Austria",7.119,48972
"Luxembourg",6.871,58176
"Ireland",6.907,45636
"Belgium",6.929,41868
"Germany",6.994,44436
"Czech Republic",6.596,12324
"Spain",6.361,26556
"Malta",6.488,17244
"Slovakia",6.078,10944
"Italy",5.977,29220
"Moldova",5.897,2772
"Lithuania",5.813,9288
"Belarus",5.802,4176
"Poland",5.835,11136
"Croatia",5.488,12360
"Russia",5.856,6060
"Cyprus",5.546,22548
"Kosovo",5.401,6228
"Estonia",5.517,13752
"Montenegro",5.161,9012
"Romania",5.528,7512
"Serbia",5.177,6192
"Portugal",5.123,13296
"Latvia",5.56,10308
"Macedonia",5.121,6420
"Albania",4.655,4152
"Bosnia and Herzegovina",5.163,7980
"Greece",5.033,18108
"Hungary",5.145,10140
"Ukraine",4.324,2196
"Bulgaria",4.217,5820
